"Source:","/home/rome/kicad-workspace/device_circuit/device_circuit.kicad_sch"
"Date:","lun 26 jun 2023 11:44:53"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Reference","Value"
"","","C1","C","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~","C","C"
"","","C2","C","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","~","C","C"
"","","C3","C","Device:C","","~","C3","C"
"","","C4","C","Device:C","","~","C4","C"
"","","C5","C","Device:C","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","~","C","C"
"","","C6","C","Device:C","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","~","C","C"
"","","C7","C","Device:C","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","~","C","C"
"","","C8","C","Device:C","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","~","C","C"
"","","J1","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","","~","J1","Screw_Terminal_01x04"
"","","J2","Conn_01x15_Male","Connector:Conn_01x15_Male","","~","J2","Conn_01x15_Male"
"","","J3","Conn_01x15_Male","Connector:Conn_01x15_Male","","~","J3","Conn_01x15_Male"
"","","J4","Conn_01x08_Male","Connector:Conn_01x08_Male","","~","J4","Conn_01x08_Male"
"","","J5","Conn_01x08_Male","Connector:Conn_01x08_Male","","~","J5","Conn_01x08_Male"
"","","J6","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","","~","J6","Screw_Terminal_01x04"
"","","J7","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","J","Screw_Terminal_01x02"
"","","J8","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","J8","Screw_Terminal_01x02"
"","","J9","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","J9","Screw_Terminal_01x03"
"","","R1","R","Device:R","","~","R1","R"
"","","R2","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","R","R"
"","","R3","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","R","R"
"","","R4","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","R","R"
"","","R5","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","R","R"
"","","RV1","R_Potentiometer","Device:R_Potentiometer","","~","RV1","R_Potentiometer"
"","","U1","OP77","Amplifier_Operational:OP77","","https://www.analog.com/media/en/technical-documentation/data-sheets/OP77.pdf","U1","OP77"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Reference","Value"
"1","1","C1","C","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal","~","C","C"
"2","1","C2","C","Device:C","Capacitor_THT:CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal","~","C","C"
"3","2","C3, C4","C","Device:C","","~","C3","C"
"4","4","C5, C6, C7, C8","C","Device:C","Capacitor_THT:CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","~","C","C"
"5","2","J1, J6","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","","~","J1","Screw_Terminal_01x04"
"6","2","J2, J3","Conn_01x15_Male","Connector:Conn_01x15_Male","","~","J2","Conn_01x15_Male"
"7","2","J4, J5","Conn_01x08_Male","Connector:Conn_01x08_Male","","~","J4","Conn_01x08_Male"
"8","2","J7, J8","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","","~","J8","Screw_Terminal_01x02"
"9","1","J9","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","J9","Screw_Terminal_01x03"
"10","1","R1","R","Device:R","","~","R1","R"
"11","4","R2, R3, R4, R5","R","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","~","R","R"
"12","1","RV1","R_Potentiometer","Device:R_Potentiometer","","~","RV1","R_Potentiometer"
"13","1","U1","OP77","Amplifier_Operational:OP77","","https://www.analog.com/media/en/technical-documentation/data-sheets/OP77.pdf","U1","OP77"
